pubmed	year	title	professors
25714720	2015	A new player at the flagellar motor: FliL controls both motor output and bias.	
19804480	2009	Disseminated Geotrichum candidum infection in a patient with relapsed acute myelogenous leukemia following allogeneic stem cell transplantation and review of the literature.	
6277943	1982	The horseradish peroxidase-catalyzed oxidation of 3,5,3',5'-tetramethylbenzidine. Free radical and charge-transfer complex intermediates.	
10439073	1999	On the prosthetic groups of the NiFe sulfhydrogenase from Pyrococcus furiosus: topology, structure, and temperature-dependent redox chemistry.	
19433216	2009	Trehalose-mediated thermal stabilization of glucose oxidase from Aspergillus niger.	
10049877	1999	The role of benzoate in anaerobic degradation of terephthalate.	
26464083	2015	Towards integrative systems pharmacology models in oncology drug development.	
26360870	2015	Top value platform chemicals: bio-based production of organic acids.	
30894691	2019	Resolving the individual contribution of key microbial populations to enhanced biological phosphorus removal with Raman-FISH.	
23046952	2012	Environmental heme utilization by heme-auxotrophic bacteria.	
20962349	2010	Prospecting metagenomic enzyme subfamily genes for DNA family shuffling by a novel PCR-based approach.	
27508427	2016	Stabilization of membrane necks by adhesive particles, substrate surfaces, and constriction forces.	
22035879	2011	Histamine and H1-antihistamines: celebrating a century of progress.	
30525427	2019	Emulsion Template Method for the Fabrication of Gelatin-Based Scaffold with a Controllable Pore Structure.	
14679543	2003	Mechanism of the aliphatic hydroxylation mediated by a bis(micro-oxo)dicopper(III) complex.	
19209595	2009	Using information on uncertainty to improve environmental fate modeling: a case study on DDT.	
27038548	2016	Asymmetric reduction of acetophenone into R-(+)-1-phenylethanol by endophytic fungus Neofusicoccum parvum BYEF07 isolated from Illicium verum.	
31506571	2019	Towards the realistic computer model of precipitation polymerization microgels.	
22886684	2013	Engineered catalytic biofilms for continuous large scale production of n-octanol and (S)-styrene oxide.	
30145666	2018	Marine derived biosurfactants: a vast potential future resource.	
22997335	2012	A crystalline singlet phosphinonitrene: a nitrogen atom-transfer agent.	
28571627	2017	Directed evolution of Thermomyces lanuginosus lipase to enhance methanol tolerance for efficient production of biodiesel from waste grease.	
33445782	2021	Multiscale Regulation of the Intervertebral Disc: Achievements in Experimental, In Silico, and Regenerative Research.	
25890048	2015	Genome reduction boosts heterologous gene expression in Pseudomonas putida.	
13747776	1961	Formation and utilization of poly-beta-hydroxybutyric acid by Knallgas bacteria (Hydrogenomonas).	
18456796	2008	Animal models of chronic obstructive pulmonary disease.	
35876989	2022	Recent advances in the breakdown of microplastics: strategies and future prospectives.	
19786035	2009	Genome sequences of Escherichia coli B strains REL606 and BL21(DE3).	
34604841	2021	Hemoprotein Catalyzed Oxygenations: P450s, UPOs, and Progress toward Scalable Reactions.	
25093243	2014	Optical phenomena and antifrosting property on biomimetics slippery fluid-infused antireflective films via layer-by-layer comparison with superhydrophobic and antireflective films.	
10919779	2000	Rhamnolipid-induced removal of lipopolysaccharide from Pseudomonas aeruginosa: effect on cell surface properties and interaction with hydrophobic substrates.	
35974513	2022	Active responsive colloids coupled to different thermostats.	
32127917	2020	Improvement of the catalytic activity and thermostability of a hyperthermostable endoglucanase by optimizing N-glycosylation sites.	
26896132	2016	Engineering Escherichia coli for Microbial Production of Butanone.	
24857513	2014	Enhanced chondrogenesis of human nasal septum derived progenitors on nanofibrous scaffolds.	
8350718	1993	Quantitative interpretation of magnetization transfer.	
23578473	2013	Plant phenomics and high-throughput phenotyping: accelerating rice functional genomics using multidisciplinary technologies.	
17902705	2007	Obligatory intermolecular electron-transfer from FAD to FMN in dimeric P450BM-3.	
33976605	2021	Applicability of a single-use bioreactor compared to a glass bioreactor for the fermentation of filamentous fungi and evaluation of the reproducibility of growth in pellet form.	
24612670	2014	Bacterial group I introns: mobile RNA catalysts.	
23829560	2013	Structural evidence: a single charged residue affects substrate binding in cytochrome P450 BM-3.	
22185581	2012	Preorganized frustrated Lewis pairs.	
36193297	2022	Design and fabrication of a low-cost and programmable dip coating machine.	
34635859	2021	A metabolic modeling platform for the computation of microbial ecosystems in time and space (COMETS).	
25665442	2015	Measuring lysosomal pH by fluorescence microscopy.	
34225655	2021	An illuminated respiratory activity monitoring system identifies priming-active compounds in plant seedlings.	
33502841	2021	Cell-free Directed Evolution of a Protease in Microdroplets at Ultrahigh Throughput.	
9075402	1997	"Electrochemical glucose and lactate sensors based on ""wired"" thermostable soybean peroxidase operating continuously and stably at 37 degrees C."	
853047	1977	Development of semicrystalline poly(vinyl alcohol) hydrogels for biomedical applications.	
12396500	2002	Root system architecture determines fitness in an Arabidopsis mutant in competition for immobile phosphate ions but not for nitrate ions.	
26923530	2016	Molecular level studies on interfacial hydration of zwitterionic and other antifouling polymers in situ.	
26026609	2016	Activation of the Nrf2 response by intrinsic hepatotoxic drugs correlates with suppression of NF-κB activation and sensitizes toward TNFα-induced cytotoxicity.	
20671186	2010	Microbial biosynthesis of alkanes.	
25865277	2015	Construction of CoA-dependent 1-butanol synthetic pathway functions under aerobic conditions in Escherichia coli.	
27566524	2016	Integrated bioconversion of pulp and paper primary sludge to second generation bioethanol using Saccharomyces cerevisiae ATCC 26602.	
22726394	2013	Clampless off-pump surgery reduces stroke in patients with left main disease.	
19341276	2009	Peptide-functionalized nanogels for targeted siRNA delivery.	
34629170	2022	Reap the crop wild relatives for breeding future crops.	
2391396	1990	Effect of food on the pharmacokinetics of cyclosporine in healthy subjects following oral and intravenous administration.	
2325633	1990	Cloning and sequence analysis of the arginine deiminase gene from Mycoplasma arginini.	
28849905	2017	Single-Electron Transfer Living Radical Polymerization Platform to Practice, Develop, and Invent.	
20687671	2010	Observation of surface structure of 1-alkyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide using high-resolution Rutherford backscattering spectroscopy.	
15128565	2004	Enhancing the thermal tolerance and gastric performance of a microbial phytase for use as a phosphate-mobilizing monogastric-feed supplement.	
24825608	2014	Adsorption of microgels at an oil-water interface: correlation between packing and 2D elasticity.	
13678452	2003	Liver tissue engineering within alginate scaffolds: effects of cell-seeding density on hepatocyte viability, morphology, and function.	
30106410	2018	Nanoscale mechanics of microgel particles.	
30203970	2018	Improvement of Multiple-Stress Tolerance and Ethanol Production in Yeast during Very-High-Gravity Fermentation by Supplementation of Wheat-Gluten Hydrolysates and Their Ultrafiltration Fractions.	
21788147	2011	Polydispersity index of polymers revealed by DOSY NMR.	
24387860	2014	Harvesting yeast (Saccharomyces cerevisiae) at different physiological phases significantly affects its functionality in bread dough fermentation.	
35839343	2022	Mimicking the Natural Basement Membrane for Advanced Tissue Engineering.	
27761648	2017	Structural and functional characterisation of a class I endochitinase of the carnivorous sundew (Drosera rotundifolia L.).	
21623951	2011	Mucormycosis in paediatric patients: demographics, risk factors and outcome of 12 contemporary cases.	
12848563	2003	Solvent-free asymmetric olefin hydroformylation catalyzed by highly cross-linked polystyrene-supported (R,S)-BINAPHOS-Rh(I) complex.	
32888990	2020	Surface charge-based rational design of aspartase modifies the optimal pH for efficient β-aminobutyric acid production.	
36167648	2023	A primer on artificial intelligence in plant digital phenomics: embarking on the data to insights journey.	
16113223	2005	Lateral diffusion of CO2 in leaves is not sufficient to support photosynthesis.	
27553883	2016	Metabolic engineering of Corynebacterium glutamicum for shikimate overproduction by growth-arrested cell reaction.	
34064770	2021	Genome-Wide Association Study Identified Novel Candidate Loci/Genes Affecting Lodging Resistance in Rice.	
14973027	2004	eBURST: inferring patterns of evolutionary descent among clusters of related bacterial genotypes from multilocus sequence typing data.	
23400028	2013	Site-directed antibody immobilization using a protein A-gold binding domain fusion protein for enhanced SPR immunosensing.	
34704327	2022	Designer Outer Membrane Protein Facilitates Uptake of Decoy Molecules into a Cytochrome P450BM3-Based Whole-Cell Biocatalyst.	
19093879	2009	Glycoprotein synthesis: an update.	
35853590	2022	Recent advances in electro-fermentation technology: A novel approach towards balanced fermentation.	
33548455	2021	Comparative analysis of the chemical and biochemical synthesis of keto acids.	
27442338	2016	Fluorescence-Activated Cell Sorting of Human l-asparaginase Mutant Libraries for Detecting Enzyme Variants with Enhanced Activity.	
31440596	2019	A novel thiol-dependent serine protease from 	
30554411	2019	From Endogenous Compounds as Biomarkers to Plasma-Derived Nanovesicles as Liquid Biopsy; Has the Golden Age of Translational Pharmacokinetics-Absorption, Distribution, Metabolism, Excretion-Drug-Drug Interaction Science Finally Arrived?	
22465489	2012	Phosphorus: a limiting nutrient for humanity?	
22106306	2011	Alternative perspective on the control of transpiration by radiation.	
26713663	2016	Conversion of CO2 from Air into Methanol Using a Polyamine and a Homogeneous Ruthenium Catalyst.	
22942724	2012	Green extraction of natural products: concept and principles.	
26724578	2016	Kinetic modeling of cell metabolism for microbial production.	
23106355	2012	UV-initiated hydrosilylation on hydrogen-terminated silicon (111): rate coefficient increase of two orders of magnitude in the presence of aromatic electron acceptors.	
27020758	2016	Retinal remodeling in human retinitis pigmentosa.	
30776711	2019	Microgels in biomaterials and nanomedicines.	
35251103	2022	Effective Metabolic Carbon Utilization and Shoot-to-Root Partitioning Modulate Distinctive Yield in High Yielding Cassava Variety.	
18653896	2008	The crystal structure of [Fe]-hydrogenase reveals the geometry of the active site.	
27611089	2016	The Neurite Outgrowth Inhibitory Nogo-A-Δ20 Region Is an Intrinsically Disordered Segment Harbouring Three Stretches with Helical Propensity.	
21342504	2011	pBAM1: an all-synthetic genetic tool for analysis and construction of complex bacterial phenotypes.	
29028302	2017	High Ion-Exchange Capacity Semihomogeneous Cation Exchange Membranes Prepared via a Novel Polymerization and Sulfonation Approach in Porous Polypropylene.	
19578406	2009	Genomic analysis of the basal lineage fungus Rhizopus oryzae reveals a whole-genome duplication.	
35651189	2019	Copolymerization of Natural Camphor-Derived Rigid Diol with Various Dicarboxylic Acids: Access to Biobased Polyesters with Various Properties.	
16345115	2006	The use of 1H NMR microscopy to study proton-exchange membrane fuel cells.	
24798653	2014	Transformation of cellulose and its derived carbohydrates into formic and lactic acids catalyzed by vanadyl cations.	
34706538	2021	Cross-linked Porous Gelatin Microparticles with Tunable Shape, Size, and Porosity.	
34047491	2021	The Green Lean Amine Machine: Harvesting Electric Power While Capturing Carbon Dioxide from Breath.	
35061539	2022	Basin-scale biogeography of marine phytoplankton reflects cellular-scale optimization of metabolism and physiology.	
18442549	2008	Arterial access through the right subclavian artery in surgery of the aortic arch improves neurologic outcome and mid-term quality of life.	
28921972	2017	What Can Be Learned from Nuclear Resonance Vibrational Spectroscopy: Vibrational Dynamics and Hemes.	
25331527	2015	Evaluation of the hazard potentials of river suspended particulate matter and floodplain soils in the Rhine basin using chemical analysis and in vitro bioassays.	
33346654	2020	Iodine-Catalyzed Selective Functionalization of Ethane in Oleum: Toward a Direct Process for the Production of Ethylene Glycol from Shale Gas.	
26121007	2015	Enhancement of the 1-Octanol/Water Partition Coefficient of the Anti-Inflammatory Indomethacin in the Presence of Lidocaine and Other Local Anesthetics.	
24905905	2014	A nanodiamond/CNT-SiC monolith as a novel metal free catalyst for ethylbenzene direct dehydrogenation to styrene.	
23953065	2013	MOLE 2.0: advanced approach for analysis of biomacromolecular channels.	
27573978	2016	Whole-Cell-Catalyzed Multiple Regio- and Stereoselective Functionalizations in Cascade Reactions Enabled by Directed Evolution.	
30507165	2018	Site-Selective Functionalization of Hydroxyl Groups in Carbohydrate Derivatives.	
32882620	2020	Nitrogen application mitigates drought-induced metabolic changes in Alhagi sparsifolia seedlings by regulating nutrient and biomass allocation patterns.	
17599482	2007	Forty-one-month follow-up of the Symmetry aortic connector system for proximal venous anastomosis.	
32878287	2020	Development of Environmentally Friendly Atom Transfer Radical Polymerization.	
26854745	2016	FTIR, Raman, and XPS analysis during phosphate, nitrate and Cr(VI) removal by amine cross-linking biosorbent.	
16381955	2006	DrugBank: a comprehensive resource for in silico drug discovery and exploration.	
26155743	2015	Saprochaete capitata as an emerging fungus among patients with haematological malignencies.	
36032729	2022	Bioproduction of propionic acid using levulinic acid by engineered 	
31931111	2020	Engineering glucose metabolism for enhanced muconic acid production in Pseudomonas putida KT2440.	
18524801	2008	The University of Minnesota pathway prediction system: predicting metabolic logic.	
27046157	2016	Targeted tumor delivery and controlled release of neuronal drugs with ferritin nanoparticles to regulate pancreatic cancer progression.	
28678007	2017	Microfluidic-based mini-metagenomics enables discovery of novel microbial lineages from complex environmental samples.	
11430400	2001	Transposon mutations in the flagella biosynthetic pathway of the solvent-tolerant Pseudomonas putida S12 result in a decreased expression of solvent efflux genes.	
12230479	2002	Pharmacokinetics of icodextrin in peritoneal dialysis patients.	
16452296	2006	Degradation of RNA in bacteria: comparison of mRNA and stable RNA.	
12952125	2003	The transition from the bubble oxygenator to the microporous membrane oxygenator.	
23611567	2013	Cofactor engineering for advancing chemical biotechnology.	
19056979	2008	Tough, bio-inspired hybrid materials.	
33864626	2021	Three-Dimensional Bioprinting Scaffolding for Nasal Cartilage Defects: A Systematic Review.	
35596389	2015	Synthesis and Application of Protein-Containing Block Copolymers.	
7742302	1995	Short-chain dehydrogenases/reductases (SDR).	
25431974	2014	Physical Properties and CO2 Reaction Pathway of 1-Ethyl-3-Methylimidazolium Ionic Liquids with Aprotic Heterocyclic Anions.	
18424795	2008	The Vienna RNA websuite.	
11514532	2001	Involvement of sigma(S) in starvation-induced transposition of Pseudomonas putida transposon Tn4652.	
23413798	2013	Single-step assembly of DOX/ICG loaded lipid--polymer nanoparticles for highly effective chemo-photothermal combination therapy.	
15863485	2005	Strong repulsive forces between protein and oligo (ethylene glycol) self-assembled monolayers: a molecular simulation study.	
36135346	2023	Usefulness of screening for Candida auris colonisation in international patients admitted to a large university hospital.	
27071033	2016	Intermolecular (119)Sn,(31)P Through-Space Spin-Spin Coupling in a Solid Bivalent Tin Phosphido Complex.	
25975834	2015	Variation in Adult Plant Phenotypes and Partitioning among Seed and Stem-Borne Roots across Brachypodium distachyon Accessions to Exploit in Breeding Cereals for Well-Watered and Drought Environments.	
32386603	2020	Detection of the 'Big Five' mold killers of humans: Aspergillus, Fusarium, Lomentospora, Scedosporium and Mucormycetes.	
27136056	2015	Pseudo-transition Analysis Identifies the Key Regulators of Dynamic Metabolic Adaptations from Steady-State Data.	
15361732	2004	Successful treatment of a child with posttraumatic necrotizing fasciitis caused by Apophysomyces elegans: case report and review of literature.	
17900735	2007	Bioproduction of p-hydroxybenzoate from renewable feedstock by solvent-tolerant Pseudomonas putida S12.	
23620179	2013	Pseudomonas aeruginosa: new insights into pathogenesis and host defenses.	
26210139	2015	Highly charged cellulose-based nanocrystals as flocculants for harvesting Chlorella vulgaris.	
11274345	2001	Mammalian mitogen-activated protein kinase signal transduction pathways activated by stress and inflammation.	
33766380	2021	Introducing hydroxyl groups as cellulose-binding sites into polymeric solid acids to improve their catalytic performance in hydrolyzing cellulose.	
35992692	2022	Microbial surfactants: A journey from fundamentals to recent advances.	
33535124	2021	Mutations in the coordination spheres of T1 Cu affect Cu	
34321657	2021	Porous materials for carbon dioxide separations.	
35049943	2021	Volatile Organic Compound Profile Fingerprints Using DART-MS Shows Species-Specific Patterns in 	
11409933	2001	Common and uncommon cytochrome P450 reactions related to metabolism and chemical toxicity.	
35480260	2021	The exposome paradigm to predict environmental health in terms of systemic homeostasis and resource balance based on NMR data science.	
23475180	2013	Whole-cell biocatalysis for selective and productive C-O functional group introduction and modification.	
33465923	2017	Progress and Trends in Artificial Silk Spinning: A Systematic Review.	
33369501	2021	Complete Chromosome-Scale Genome Sequence Resource for 	
35415641	2021	Microbial synthesis of 4-hydroxybenzoic acid from renewable feedstocks.	
24329546	2013	Impact of polymethylpentene oxygenators on outcomes of all extracorporeal life support patients in the United States.	
19774562	2009	A panel of cytochrome P450 BM3 variants to produce drug metabolites and diversify lead compounds.	
31457149	2016	Glycopolypeptide-Grafted Bioactive Polyionic Complex Vesicles (PICsomes) and Their Specific Polyvalent Interactions.	
2744487	1989	Site-directed mutagenesis by overlap extension using the polymerase chain reaction.	
26691384	2016	Reversible immobilization of laccase onto metal-ion-chelated magnetic microspheres for bisphenol A removal.	
27782160	2016	Global-scale river flood vulnerability in the last 50 years.	
26900994	2016	Towards lag phase of microbial populations at growth-limiting conditions: The role of the variability in the growth limits of individual cells.	
31476332	2019	Conversion of waste cooking oil into medium chain polyhydroxyalkanoates in a high cell density fermentation.	
32015042	2020	MIC and Upper Limit of Wild-Type Distribution for 13 Antifungal Agents against a Trichophyton mentagrophytes-Trichophyton interdigitale Complex of Indian Origin.	
15202893	2004	Ionic liquids as a convenient new medium for the catalytic asymmetric dihydroxylation of olefins using a recoverable and reusable osmium/ligand.	
32971164	2020	Comparative transcriptome analysis of defense response of rice to Nilaparvata lugens and Chilo suppressalis infestation.	
30350645	2018	Reduction of CO	
2975248	1988	Aspergillus nidulans contains a single actin gene which has unique intron locations and encodes a gamma-actin.	
34598201	2021	Noncontact characterization of microstructured optical fibers coating in real time.	
24040962	2013	Ionic resistance and permselectivity tradeoffs in anion exchange membranes.	
28461269	2017	Machine Learning Techniques for Predicting Crop Photosynthetic Capacity from Leaf Reflectance Spectra.	
19053482	2008	Production of H2 from combined endothermic and exothermic hydrogen carriers.	
30387917	2019	Effects of Common CYP1A2 Genotypes and Other Key Factors on Intraindividual Variation in the Caffeine Metabolic Ratio: An Exploratory Analysis.	
34046253	2021	Native to designed: microbial -amylases for industrial applications.	
24087926	2013	Bimetallic platonic Janus nanocrystals.	
27840167	2017	Drug-induced co-assembly of albumin/catalase as smart nano-theranostics for deep intra-tumoral penetration, hypoxia relieve, and synergistic combination therapy.	
26706613	2016	The first report of detecting the blaSIM-2 gene and determining the complete sequence of the SIM-encoding plasmid.	
17204654	2007	Live-cell imaging of enzyme-substrate interaction reveals spatial regulation of PTP1B.	
29229971	2017	Development of Decision Forest Models for Prediction of Drug-Induced Liver Injury in Humans Using A Large Set of FDA-approved Drugs.	
20558668	2010	Biocatalytic asymmetric synthesis of chiral amines from ketones applied to sitagliptin manufacture.	
28624438	2017	The metalloproteinase ADAM10: A useful therapeutic target?	
20171928	2010	Global regulation by the seven-component Pi signaling system.	
29545123	2018	Mucormycosis in Iran: A six-year retrospective experience.	
21702506	2011	Absolute quantification of intracellular glycogen content in human embryonic stem cells with Raman microspectroscopy.	
22711016	2013	Treatment of phenol-containing wastewater by photoelectro-Fenton method using supported nanoscale zero-valent iron.	
27035960	2016	Stimuli-responsive clustered nanoparticles for improved tumor penetration and therapeutic efficacy.	
20478830	2010	ConSurf 2010: calculating evolutionary conservation in sequence and structure of proteins and nucleic acids.	
20581859	2010	Bacterial polymers: biosynthesis, modifications and applications.	
4628343	1972	Polystyrene spherules in coastal waters.	
22760789	2013	Interaction of organic solvents with protein structures at protein-solvent interface.	
16214136	2005	The dimeric form of flavocytochrome P450 BM3 is catalytically functional as a fatty acid hydroxylase.	
36195031	2023	Biochemical characterisation of glycosylated and deglycosylated forms of phytase from Cronobacter turicensis expressed in Pichia pastoris.	
31805763	2020	One-Pot Methylenation-Cyclization Employing Two Molecules of CO	
15580262	2005	Protein tagging and detection with engineered self-assembling fragments of green fluorescent protein.	
26820234	2016	Isotopic Ratio Outlier Analysis of the S. cerevisiae Metabolome Using Accurate Mass Gas Chromatography/Time-of-Flight Mass Spectrometry: A New Method for Discovery.	
16118820	2005	Stochastic sensing of TNT with a genetically engineered pore.	
12465985	2002	Electrical contacting of flavoenzymes and NAD(P)+-dependent enzymes by reconstitution and affinity interactions on phenylboronic acid monolayers associated with Au-electrodes.	
22900997	2012	EPR spectroscopic studies of the Fe-S clusters in the O2-tolerant [NiFe]-hydrogenase Hyd-1 from Escherichia coli and characterization of the unique [4Fe-3S] cluster by HYSCORE.	
11030430	2000	Metabolic activity decreases as an adaptive response to low internal oxygen in growing potato tubers.	
9148754	1997	Heterologous expression and characterization of wild-type and mutant forms of a 26 kDa endochitinase from barley (Hordeum vulgare L.).	
17178156	2007	Computational modelling of cell spreading and tissue regeneration in porous scaffolds.	
34796467	2021	Extreme dependence of Chloroflexus aggregans LOV domain thermo- and photostability on the bound flavin species.	
32325397	2020	Evolutionary insights into plant breeding.	
25001325	2014	Protic acid resin enhanced 1-butyl-3-methylimidazolium chloride pretreatment of Arundo donax Linn.	
35852584	2022	Influence of N-acetyltransferase 2 (NAT2) genotype/single nucleotide polymorphisms on clearance of isoniazid in tuberculosis patients: a systematic review of population pharmacokinetic models.	
23765312	2013	Upgraded ESRF BM29 beamline for SAXS on macromolecules in solution.	
31931218	2020	Thermochemical and electrochemical aspects of carbon dioxide methanation: A sustainable approach to generate fuel via waste to energy theme.	
33569373	2020	Opportunities at the Interface of Network Science and Metabolic Modeling.	
24827611	2014	Mutatomics analysis of the systematic thermostability profile of Bacillus subtilis lipase A.	
21058317	2010	Poly(butylene succinate) and its copolymers: research, development and industrialization.	
24140625	2013	Optimization of SABRE for polarization of the tuberculosis drugs pyrazinamide and isoniazid.	
9033595	1997	The structure of the cytochrome p450BM-3 haem domain complexed with the fatty acid substrate, palmitoleic acid.	
7729019	1995	Comparison of surgical and medical group survival in patients with left main equivalent coronary artery disease. Long-term CASS experience.	
23161555	2013	Combining spectroscopy and theory to evaluate structural models of metalloenzymes: a case study on the soluble [NiFe] hydrogenase from Ralstonia eutropha.	
33659995	2021	Permanent pacemaker implantation following mitral valve surgery: a retrospective cohort study of risk factors and long-term outcomes.	
27910898	2016	Hydrogen overproducing nitrogenases obtained by random mutagenesis and high-throughput screening.	
16545099	2006	Choice of biocatalyst form for scalable processes.	
34785329	2022	Seawater-based biorefineries: A strategy to reduce the water footprint in the conversion of lignocellulosic biomass.	
20188057	2010	Development and application of a screening assay for glycoside phosphorylases.	
29700779	2018	Ionic liquids: a brief history.	
36174890	2022	Enhancement of the polyethylene terephthalate and mono-(2-hydroxyethyl) terephthalate degradation activity of Ideonella sakaiensis PETase by an electrostatic interaction-based strategy.	
15826184	2005	Substrate oxidation by copper-dioxygen adducts: mechanistic considerations.	
18392864	2008	The effect of mutation of F87 on the properties of CYP102A1-CYP4C7 chimeras: altered regiospecificity and substrate selectivity.	
24485594	2014	From terpyridine-based assemblies to metallo-supramolecular polyelectrolytes (MEPEs).	
28898651	2017	From early farmers to Norman Borlaug - the making of modern wheat.	
35995792	2022	Muconic acid production from glucose and xylose in Pseudomonas putida via evolution and metabolic engineering.	
33428816	2021	In Vivo Assembly of Artificial Metalloenzymes and Application in Whole-Cell Biocatalysis*.	
23815749	2013	Adaptive laboratory evolution -- principles and applications for biotechnology.	
34759320	2021	A chickpea genetic variation map based on the sequencing of 3,366 genomes.	
33171015	2021	Channelling carbon flux through the meta-cleavage route for improved poly(3-hydroxyalkanoate) production from benzoate and lignin-based aromatics in Pseudomonas putida H.	
29798857	2018	Beyond fossil fuel-driven nitrogen transformations.	
24622105	2014	Epidemiology of Candida kefyr in patients with hematologic malignancies.	
32432329	2020	High-quality chromosome-scale assembly of the walnut (Juglans regia L.) reference genome.	
35322036	2022	Expanding biochemical knowledge and illuminating metabolic dark matter with ATLASx.	
15937195	2005	Prediction of solvent accessibility and sites of deleterious mutations from protein sequence.	
23432375	2013	Reactivity models of hydrogen activation by frustrated Lewis pairs: synergistic electron transfers or polarization by electric field?	
25226037	2014	A trihelix DNA binding protein counterbalances hypoxia-responsive transcriptional activation in Arabidopsis.	
26017444	2015	Probabilistic machine learning and artificial intelligence.	
24677793	2014	Optical devices constructed from multiresponsive microgels.	
31091087	2019	A Stereoselective Tyrosinase Model Compound Derived from an m-Xylyl-l-histidine Ligand.	
18605745	2008	pH-Responsive hollow polymeric microspheres and concentric hollow silica microspheres from silica-polymer core-shell microspheres.	
18490945	2007	Diagnostic tools to identify black aspergilli.	
32421310	2020	Updated ATLAS of Biochemistry with New Metabolites and Improved Enzyme Prediction Power.	
30218988	2019	Assessing omniphobicity by immersion.	
34156235	2021	Animal Fatty Acid Synthase: A Chemical Nanofactory.	
30446120	2019	Five different chitin nanomaterials from identical source with different advantageous functions and performances.	
2172217	1990	Mini-Tn5 transposon derivatives for insertion mutagenesis, promoter probing, and chromosomal insertion of cloned DNA in gram-negative eubacteria.	
32105083	2020	Drug-Eluting Polyacrylate Microgels: Loading and Release of Amitriptyline.	
33332968	2020	Catalytic Hydrogenation of Thioesters, Thiocarbamates, and Thioamides.	
25761623	2015	A giant market and a powerful metabolism: L-lysine provided by Corynebacterium glutamicum.	
28596765	2017	Enzymatic Degradation of Aromatic and Aliphatic Polyesters by 	
31296333	2019	Application of microstructured membranes for increasing retention, selectivity and resolution in asymmetrical flow field-flow fractionation.	
25416390	2014	Carbon monoxide. Toxic gas and fuel for anaerobes and aerobes: carbon monoxide dehydrogenases.	
16403573	2006	The role of Thr268 and Phe393 in cytochrome P450 BM3.	
948750	1976	Binding of (14C) parathion in soil: a reassessment of pesticide persistence.	
9477555	1998	Structure and expression of the D-amino-acid oxidase gene from the yeast Rhodosporidium toruloides.	
26013972	2015	Dynamics of Membrane Proteins within Synthetic Polymer Membranes with Large Hydrophobic Mismatch.	
33633753	2020	QTL Mapping for Seed Germination Response to Drought Stress in 	
20393707	2010	Diversity of polyester-degrading bacteria in compost and molecular analysis of a thermoactive esterase from Thermobifida alba AHK119.	
32791275	2020	Role of membrane proteins in bacterial synthesis of hyaluronic acid and their potential in industrial production.	
8944154	1996	MCA has more to say.	
34577070	2021	Directed Evolution Methods for Enzyme Engineering.	
28641405	2017	Biotransformation of ferulic acid to protocatechuic acid by Corynebacterium glutamicum ATCC 21420 engineered to express vanillate O-demethylase.	
24977477	2014	Differential regulation of lung endothelial permeability in vitro and in situ.	
2715159	1989	Protein-resistant surfaces prepared by PEO-containing block copolymer surfactants.	
21373712	2011	Computational design of a thermostable mutant of cocaine esterase via molecular dynamics simulations.	
31370213	2019	Tuning the Swelling Properties of Smart Multiresponsive Core-Shell Microgels by Copolymerization.	
15929154	2005	Expanding the range of substrate acceptance of enzymes: combinatorial active-site saturation test.	
19708216	2009	Influence of different substituents on the surface composition of ionic liquids studied using ARXPS.	
33285226	2021	CRISPR/Cas genome editing to optimize pharmacologically active plant natural products.	
12384686	2002	Plant biochemistry: an onion enzyme that makes the eyes water.	
20355740	2010	Acidic pH-responsive nanogels as smart cargo systems for the simultaneous loading and release of short oligonucleotides and magnetic nanoparticles.	
34970466	2021	Reduced Graphene Oxides as Carbocatalysts in Acceptorless Dehydrogenation of 	
17544346	2007	Reconstitution of apoglucose oxidase with FAD conjugates for biosensoring of progesterone.	
35330228	2022	Current Insight into Traditional and Modern Methods in Fungal Diversity Estimates.	
33100814	2020	Carbon as a Simple Support for Redox Biocatalysis in Continuous Flow.	
21361275	2011	Liquid crystalline phase and gel-sol transitions for concentrated microcrystalline cellulose (MCC)/1-ethyl-3-methylimidazolium acetate (EMIMAc) solutions.	
16684370	2006	Influence of metabolic network structure and function on enzyme evolution.	
29506382	2018	Solution Self-Assemblies of Sequence-Defined Ionic Peptoid Block Copolymers.	
28398718	2017	Facile Fabrication of Composite Membranes with Dual Thermo- and pH-Responsive Characteristics.	
27271555	2016	Exploring substrate scope and stereoselectivity of P450 peroxygenase OleTJE in olefin-forming oxidative decarboxylation.	
31855422	2020	How Do the Properties of Amphiphilic Polymer Membranes Influence the Functional Insertion of Peptide Pores?	
34128303	2021	Synergistic Catalysis by Brønsted Acid/Carbodicarbene Mimicking Frustrated Lewis Pair-Like Reactivity.	
14759164	2004	Mechanistic studies of the ethylene trimerization reaction with chromium-diphosphine catalysts: experimental evidence for a mechanism involving metallacyclic intermediates.	
33545357	2021	Quorum sensing-mediated protein degradation for dynamic metabolic pathway control in Saccharomyces cerevisiae.	
1490172	1992	Randomization of genes by PCR mutagenesis.	
28251041	2017	Advances in industrial microbiome based on microbial consortium for biorefinery.	
35788131	2022	Design principles for water dissociation catalysts in high-performance bipolar membranes.	
28206744	2017	Alkane Oxidation: Methane Monooxygenases, Related Enzymes, and Their Biomimetics.	
19115310	2009	Stereoselective hydrogenation of olefins using rhodium-substituted carbonic anhydrase--a new reductase.	
